epoch,stage,lr,train_loss,train_mse,train_kl,val_loss,val_mse,val_kl,PLCC,SROCC,KROCC,Aggregate,time_seconds
42,2,3.6022344354237e-05,0.31795330782021797,0.2842039556375572,0.019357603535588297,0.22414067909121513,0.1995306834578514,0.008791220374405384,0.9216,0.9302,0.7823,2.6341,31.89790916442871
43,2,3.526082670123291e-05,0.30950121996658186,0.2735438368150166,0.0178986133808004,0.21673090942203999,0.19233777485787867,0.007842703815549612,0.9241,0.9319,0.7849,2.641,31.13012933731079
44,2,3.448792836091989e-05,0.31291786751576833,0.2744168144251619,0.02017724221306188,0.21212630495429038,0.18788616694509983,0.007012815657071769,0.9262,0.9328,0.7869,2.6459,30.654945135116577
45,2,3.370455049818916e-05,0.30040236855191843,0.2650556093880108,0.018607145454734565,0.20524147152900696,0.18121864199638366,0.0062495431280694905,0.9286,0.9341,0.7893,2.6519,30.92675805091858
46,2,3.2911606496586355e-05,0.29185564539262226,0.2589731938604798,0.01671221139175551,0.19945879355072976,0.1756800662726164,0.005531387450173497,0.9309,0.9354,0.7912,2.6575,30.900320529937744
47,2,3.211002089334709e-05,0.269845193198749,0.2380333648728473,0.02029206409850823,0.19424087405204774,0.17071178369224072,0.005090162658598274,0.9329,0.9367,0.7941,2.6638,30.162825345993042
48,2,3.130072830142794e-05,0.2695698013263089,0.23711517921515873,0.01470400291228933,0.18981545567512512,0.16653153635561466,0.004717149294447154,0.935,0.938,0.7968,2.6698,30.04076600074768
49,2,3.0484672319789523e-05,0.32133953017847877,0.2866064141903605,0.017490587503250155,0.183858722448349,0.16080945916473866,0.004370355099672452,0.9368,0.9395,0.7996,2.6759,30.015985250473022
50,2,2.966280443320233e-05,0.29802029563912324,0.2637993176068578,0.01765649788347738,0.1779094610363245,0.15514303743839264,0.00396782904281281,0.9384,0.9402,0.801,2.6796,30.049511194229126
51,2,2.8836082902858037e-05,0.2848762844290052,0.254364283063582,0.01615998737647065,0.17347234599292277,0.15097142122685908,0.003665811649989337,0.9397,0.9405,0.8018,2.682,29.794477224349976
52,2,2.800547164907984e-05,0.2789281145802566,0.24628602346139294,0.0156797915264698,0.1697793696075678,0.1474625661969185,0.003433836589101702,0.9409,0.9413,0.8033,2.6855,30.035915851593018
53,2,2.7171939127434443e-05,0.26078490327511517,0.22864603714219162,0.014662110240065626,0.16749499477446078,0.14536147452890874,0.0032674171263352035,0.9419,0.9423,0.8055,2.6898,29.83962392807007
54,2,2.6336457199556212e-05,0.2484755823654788,0.21580862967031342,0.015806597783895475,0.1660282753407955,0.14405969716608524,0.0031538832176011057,0.9427,0.9425,0.8061,2.6912,29.816034078598022
55,2,2.55e-05,0.26443635395595005,0.23050920409815653,0.019112456416977303,0.16384111754596234,0.1420752678066492,0.002998164453310892,0.9436,0.9432,0.8075,2.6943,30.537596702575684
56,2,2.4663542800443787e-05,0.24818395168653556,0.21674804083470786,0.014575147648741092,0.16279093399643899,0.14129361361265183,0.0028692546184174716,0.9446,0.9439,0.8095,2.698,30.263272523880005
57,2,2.3828060872565563e-05,0.3065055289438793,0.27175247243472506,0.020878830192876712,0.1621374886482954,0.14093237332999706,0.002827318344498053,0.9454,0.9442,0.8109,2.7005,30.38393211364746
58,2,2.2994528350920164e-05,0.26127139234117097,0.22887021915188857,0.015019276132807135,0.16141584739089013,0.14035598896443843,0.0027601988753303886,0.946,0.9443,0.8114,2.7017,36.8045334815979
59,2,2.2163917097141956e-05,0.24445093918059554,0.21246145037668093,0.013241432454170926,0.1597236294299364,0.13877883180975914,0.002695510513149202,0.9467,0.9446,0.8125,2.7038,39.596397399902344
60,2,2.133719556679767e-05,0.24731200986674853,0.2151196691606726,0.01451898413444204,0.15853822678327562,0.13774161972105503,0.002666576876072213,0.9474,0.9453,0.8137,2.7064,33.828227519989014
61,2,2.0515327680210473e-05,0.2630288652011326,0.2316657888570002,0.012499911713946078,0.15565474554896355,0.13505931496620177,0.0026497266255319117,0.9483,0.9461,0.8155,2.7099,30.200136423110962
62,2,1.9699271698572056e-05,0.2452525530542646,0.21456005168812617,0.014119068313656108,0.1532013189047575,0.13283285088837146,0.002652889210730791,0.9492,0.9466,0.8168,2.7126,30.015435695648193
63,2,1.888997910665291e-05,0.22301514063562666,0.19226629276360785,0.014182415079059346,0.15073394179344177,0.1305308746173978,0.0026416209526360034,0.9501,0.948,0.8197,2.7178,30.893378019332886
64,2,1.808839350341364e-05,0.21240477253283774,0.1861686055681535,0.015746552663456117,0.1487432286143303,0.12872579488903285,0.0025593252736143767,0.9511,0.9487,0.821,2.7208,38.588634967803955
65,2,1.729544950181084e-05,0.21588839111583574,0.1870617002248764,0.013934679908145751,0.14726271387189627,0.12745503876358272,0.0024852517584804446,0.952,0.9499,0.8235,2.7255,35.79294228553772
66,2,1.651207163908012e-05,0.21551733575761317,0.18697205499878952,0.014817943633534014,0.1470132742077112,0.1273708287626505,0.0024040188058279456,0.9527,0.9504,0.8245,2.7276,38.55670976638794
67,2,1.5739173298767084e-05,0.23459517093641416,0.2027602331978934,0.014650255697779358,0.14573264587670565,0.12627245876938104,0.002351059939246625,0.9534,0.9506,0.8257,2.7298,34.22881031036377
68,2,1.4977655645762995e-05,0.2230003492108413,0.1943348471607481,0.013902932648280901,0.14300449583679437,0.12373782843351364,0.0022890772321261465,0.9543,0.9512,0.8274,2.7329,33.00261974334717
69,2,1.4228406575586771e-05,0.19187500546021122,0.1654784665043865,0.014271528207297835,0.14004657249897717,0.12093780543655157,0.0022331099957227708,0.9552,0.9515,0.8281,2.7348,38.77199745178223
70,2,1.3492299679138574e-05,0.20254188754728863,0.17731295345085007,0.0151649703205164,0.1374188767746091,0.11845121011137963,0.002194504893850535,0.9561,0.9525,0.8304,2.7389,37.89743208885193
71,2,1.2770193224131881e-05,0.20588566618306295,0.17831269992249352,0.012985894825708654,0.13646979369223117,0.1176263129338622,0.00219955476350151,0.9567,0.9532,0.8324,2.7423,40.578508138656616
72,2,1.2062929154391686e-05,0.1912335121738059,0.1645083534132157,0.012867468379304877,0.13589658662676812,0.11711406596004963,0.002220324886729941,0.9571,0.9533,0.8325,2.743,40.76382303237915
73,2,1.1371332108185757e-05,0.19781537130475044,0.17127542703279428,0.011915212882948773,0.1345665564760566,0.11589319277554751,0.002215736667858437,0.9577,0.954,0.8343,2.746,39.016488790512085
74,2,1.0696208456733185e-05,0.1822211306542158,0.15387997568718026,0.013463920374800051,0.13315958864986896,0.11462544184178114,0.00225245546316728,0.9585,0.9545,0.8355,2.7485,40.48627543449402
75,2,1.0038345364011706e-05,0.21602496302553587,0.18557717395680293,0.012901859248190053,0.13202050663530826,0.11360362060368061,0.0023111540416721255,0.959,0.9558,0.8388,2.7537,34.85340189933777
76,2,9.39850986895968e-06,0.18421751260757446,0.16016313955187797,0.012698456857885633,0.1314380418509245,0.11307511981576682,0.002344983257353306,0.9595,0.956,0.8399,2.7553,40.25969052314758
77,2,8.777447991142973e-06,0.19236092785639422,0.16647661892431123,0.011996178096160293,0.13149594757705926,0.11315415930002928,0.0023517503344919533,0.9598,0.9564,0.8409,2.7572,39.005823612213135
78,2,8.175883860929588e-06,0.18593966620309013,0.1599760894796678,0.01204912890014904,0.13118280582129954,0.11288732402026654,0.0023787243640981614,0.9601,0.9568,0.8421,2.7591,38.756977558135986
79,2,7.594518875185959e-06,0.17869190948882274,0.15302558075636624,0.012436086644551583,0.13078848142176866,0.11251777922734618,0.0024443274771329014,0.9605,0.9569,0.8427,2.7601,40.426368951797485
80,2,7.034030879479652e-06,0.17385245013449874,0.14859414116612502,0.011906853497826627,0.13061350490897894,0.11231480278074742,0.002428703277837485,0.9607,0.9574,0.8442,2.7623,41.46444821357727
81,2,6.495073377741718e-06,0.17442324592598846,0.15029002449342183,0.011889278808874743,0.13073304519057274,0.11243842942640185,0.0024668588826898485,0.961,0.9575,0.8447,2.7632,40.892534017562866
82,2,5.978274770310341e-06,0.1772717846291406,0.15227203470255649,0.01236200373885887,0.13059971164911985,0.11233208272606135,0.0025497038674075156,0.9612,0.9575,0.8447,2.7634,41.03521394729614
83,2,5.4842376212441724e-06,0.1875124972845827,0.16145790482738187,0.012508263877992119,0.1308577384799719,0.11259681517258287,0.0025765687401872127,0.9613,0.9575,0.8451,2.7639,40.43661141395569
84,2,5.013537955759585e-06,0.17845481916197709,0.15170779672584364,0.01153119123939957,0.13116111438721417,0.11286712661385537,0.0026576651725918055,0.9613,0.9574,0.8449,2.7637,37.11906576156616
85,2,4.5667245886110365e-06,0.169435066729784,0.14484191292098592,0.012905819840463144,0.13120806831866502,0.11289671678096055,0.0026695826672948897,0.9613,0.9576,0.845,2.7639,38.216068506240845
86,2,4.1443184841975975e-06,0.16743636929563113,0.14444184071783508,0.011824088816397956,0.13124842904508113,0.11293173711746932,0.0027453700080513955,0.9614,0.9575,0.8449,2.7638,31.243305206298828
87,2,3.746812149141808e-06,0.18154159810926232,0.1541686765317406,0.012036862929484674,0.13066889084875583,0.1123297174461186,0.0027769760868977754,0.9614,0.9573,0.8441,2.7628,35.11451697349548
88,2,3.3746690580489486e-06,0.17627811735229834,0.14972336702048777,0.012451014451549522,0.13030493427067996,0.11194868022575974,0.0028118401416577397,0.9615,0.9571,0.8438,2.7624,36.961090326309204
89,2,3.0283231131164007e-06,0.17007875091263225,0.14438284992107323,0.011591896707458155,0.1299525359645486,0.11154464213177562,0.002858308597933501,0.9616,0.9569,0.843,2.7614,31.339427947998047
90,2,2.7081781382230905e-06,0.1614457632814135,0.13727470130792685,0.01169059771512236,0.12884351518005133,0.11041790368035435,0.002931786759290844,0.9616,0.9573,0.8436,2.7625,36.5416533946991
91,2,2.4146074080889007e-06,0.17276576289108822,0.14820599343095506,0.012415885818856102,0.12802841942757368,0.10956523213535548,0.0029667763039469717,0.9617,0.9573,0.8438,2.7628,31.45694375038147
92,2,2.1479532130530573e-06,0.15926873300756728,0.13622758380536523,0.011460839631035924,0.12726219072937967,0.10877845017239451,0.00300059697474353,0.9617,0.9572,0.8437,2.7626,33.98138213157654
93,2,1.9085264599789185e-06,0.16029319268252168,0.13531118594110011,0.011635636850925429,0.12639710661023856,0.1078986655920744,0.003072453121421859,0.9618,0.9572,0.8432,2.7621,36.67209553718567
94,2,1.6966063097504317e-06,0.14742987693420478,0.1252700493271862,0.012009898509963283,0.12609932199120522,0.10757579458877445,0.003115527529735118,0.9618,0.9569,0.8426,2.7613,32.99536991119385
95,2,1.5124398517830914e-06,0.16492793102349554,0.14063892224803567,0.012218424857461026,0.12579747699201108,0.10725559694692492,0.0031835916044656186,0.9618,0.957,0.8428,2.7617,32.496490478515625
96,2,1.3562418159286768e-06,0.1747380686125585,0.15039011596568994,0.011327996899906014,0.12553549855947493,0.10698289666324853,0.0032501862733624876,0.9617,0.9567,0.8422,2.7606,39.968924045562744
97,2,1.2281943221098992e-06,0.16238850480211633,0.13807236988629615,0.011706201984946216,0.12523962669074534,0.10669561112299561,0.003297820861916989,0.9617,0.9568,0.8423,2.7608,38.721460580825806
98,2,1.1284466679766765e-06,0.15654363179845468,0.13272808915270226,0.011933711117931775,0.12516087032854556,0.10662781046703458,0.0032890689151827248,0.9616,0.9567,0.8424,2.7607,34.266071796417236
99,2,1.0571151548317882e-06,0.15833853100027356,0.1356294225369181,0.011031170545278916,0.12483965465798974,0.10632953522726893,0.0033478835946880283,0.9616,0.957,0.8433,2.7619,35.739221811294556
100,2,1.0142829520287364e-06,0.14488855552460467,0.12372511348554066,0.011593547496678574,0.12454109191894532,0.10603477684780956,0.003405314084375277,0.9616,0.9569,0.8435,2.762,31.402787446975708
